freq,EMA_S,EMA_L,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,10.0,30.0,19860.0,0.163,0.357,-0.357,-0.194,474156.0
5.0,10.0,40.0,16848.0,0.137,0.357,-0.357,-0.22,474156.0
5.0,10.0,50.0,15048.0,0.089,0.357,-0.357,-0.268,474156.0
5.0,15.0,30.0,15708.0,0.262,0.357,-0.357,-0.095,474156.0
5.0,15.0,40.0,13544.0,0.159,0.357,-0.357,-0.198,474156.0
5.0,15.0,50.0,12134.0,0.099,0.357,-0.357,-0.258,474156.0
15.0,10.0,30.0,6514.0,0.865,0.361,-0.36,0.504,158054.0
15.0,10.0,40.0,5610.0,0.419,0.361,-0.359,0.058,158054.0
15.0,10.0,50.0,4934.0,0.614,0.361,-0.357,0.253,158054.0
15.0,15.0,30.0,5230.0,0.689,0.361,-0.357,0.328,158054.0
15.0,15.0,40.0,4480.0,0.761,0.361,-0.352,0.4,158054.0
15.0,15.0,50.0,3902.0,1.448,0.361,-0.332,1.087,158054.0
25.0,10.0,30.0,3792.0,1.305,0.355,-0.326,0.95,94854.0
25.0,10.0,40.0,3302.0,1.295,0.355,-0.307,0.94,94854.0
25.0,10.0,50.0,2870.0,1.572,0.355,-0.266,1.217,94854.0
25.0,15.0,30.0,3018.0,2.077,0.355,-0.253,1.722,94854.0
25.0,15.0,40.0,2612.0,1.516,0.355,-0.244,1.161,94854.0
25.0,15.0,50.0,2300.0,1.045,0.355,-0.25,0.69,94854.0
35.0,10.0,30.0,2692.0,1.439,0.364,-0.267,1.075,67759.0
35.0,10.0,40.0,2282.0,1.152,0.364,-0.246,0.788,67759.0
35.0,10.0,50.0,2060.0,1.999,0.364,-0.109,1.635,67759.0
35.0,15.0,30.0,2154.0,0.868,0.364,-0.263,0.504,67759.0
35.0,15.0,40.0,1858.0,1.54,0.364,-0.124,1.176,67759.0
35.0,15.0,50.0,1622.0,3.283,0.364,0.284,2.919,67759.0
45.0,10.0,30.0,2108.0,0.961,0.359,-0.242,0.602,52701.0
45.0,10.0,40.0,1764.0,2.016,0.359,-0.013,1.657,52701.0
45.0,10.0,50.0,1556.0,3.23,0.359,0.323,2.871,52701.0
45.0,15.0,30.0,1676.0,1.737,0.359,-0.034,1.378,52701.0
45.0,15.0,40.0,1422.0,3.168,0.359,0.405,2.809,52701.0
45.0,15.0,50.0,1234.0,6.429,0.359,1.513,6.07,52701.0
55.0,10.0,30.0,1688.0,2.579,0.362,0.115,2.217,43127.0
55.0,10.0,40.0,1424.0,4.33,0.362,0.68,3.968,43127.0
55.0,10.0,50.0,1274.0,5.053,0.362,1.051,4.691,43127.0
55.0,15.0,30.0,1348.0,2.995,0.362,0.416,2.633,43127.0
55.0,15.0,40.0,1150.0,5.329,0.362,1.325,4.967,43127.0
55.0,15.0,50.0,1002.0,5.632,0.362,1.706,5.27,43127.0
65.0,10.0,30.0,1404.0,3.368,0.364,0.463,3.004,36497.0
65.0,10.0,40.0,1168.0,5.701,0.364,1.409,5.337,36497.0
65.0,10.0,50.0,1032.0,6.248,0.364,1.862,5.884,36497.0
65.0,15.0,30.0,1142.0,5.226,0.364,1.304,4.862,36497.0
65.0,15.0,40.0,942.0,8.37,0.364,2.899,8.006,36497.0
65.0,15.0,50.0,830.0,5.719,0.364,2.13,5.355,36497.0
75.0,10.0,30.0,1200.0,6.01,0.366,1.444,5.644,31632.0
75.0,10.0,40.0,1024.0,6.571,0.366,1.994,6.205,31632.0
75.0,10.0,50.0,836.0,5.967,0.366,2.22,5.601,31632.0
75.0,15.0,30.0,968.0,7.901,0.366,2.635,7.535,31632.0
75.0,15.0,40.0,812.0,5.603,0.366,2.122,5.237,31632.0
75.0,15.0,50.0,698.0,2.944,0.366,1.099,2.578,31632.0
85.0,10.0,30.0,1052.0,10.851,0.369,3.421,10.482,27916.0
85.0,10.0,40.0,858.0,8.777,0.369,3.352,8.408,27916.0
85.0,10.0,50.0,756.0,5.976,0.369,2.437,5.607,27916.0
85.0,15.0,30.0,844.0,7.32,0.369,2.778,6.951,27916.0
85.0,15.0,40.0,700.0,5.438,0.369,2.332,5.069,27916.0
85.0,15.0,50.0,590.0,6.246,0.369,3.093,5.877,27916.0
95.0,10.0,30.0,920.0,6.918,0.367,2.39,6.551,24980.0
95.0,10.0,40.0,776.0,5.409,0.367,2.122,5.042,24980.0
95.0,10.0,50.0,698.0,5.441,0.367,2.341,5.074,24980.0
95.0,15.0,30.0,752.0,4.563,0.367,1.784,4.196,24980.0
95.0,15.0,40.0,622.0,4.757,0.367,2.187,4.39,24980.0
95.0,15.0,50.0,576.0,2.428,0.367,0.998,2.061,24980.0
105.0,10.0,30.0,816.0,8.962,0.368,3.595,8.594,22600.0
105.0,10.0,40.0,704.0,7.616,0.368,3.399,7.248,22600.0
105.0,10.0,50.0,628.0,3.965,0.368,1.748,3.597,22600.0
105.0,15.0,30.0,664.0,6.805,0.368,3.135,6.437,22600.0
105.0,15.0,40.0,564.0,5.037,0.368,2.498,4.669,22600.0
105.0,15.0,50.0,522.0,2.909,0.368,1.358,2.541,22600.0
115.0,10.0,30.0,762.0,5.732,0.364,2.311,5.368,20636.0
115.0,10.0,40.0,636.0,4.695,0.364,2.122,4.331,20636.0
115.0,10.0,50.0,586.0,3.402,0.364,1.529,3.038,20636.0
115.0,15.0,30.0,608.0,5.705,0.364,2.742,5.341,20636.0
115.0,15.0,40.0,532.0,2.879,0.364,1.327,2.515,20636.0
115.0,15.0,50.0,472.0,3.485,0.364,1.81,3.121,20636.0
